Year,Month,SAC,YOLO,CSMR,MOKE,MISC,SJR,EAST,TOT,CCC,SWP,CVP,NBAQ,EXPORTS,GCD,PREC,MISDV,CD,XGEO,WEST,RIO,OUT,EXPIN,DIVER,EFFEC,EFFDIV,X2,LibIsland
2012,2,13227.5862068966,97.1724137931034,98.3448275862069,263.620689655172,30.5862068965517,1584.48275862069,1977.03448275862,15301.7931034483,192.862068965517,1804.34482758621,1921.03448275862,5.41379310344828,3923.37931034483,881.931034482759,300.310344827586,0,581.620689655172,2870.75862068966,546.413793103448,10291.1379310345,10796.8620689655,0.24,29.2068965517241,13717.3103448276,21,75.7979310344828,1
2012,3,19610.6451612903,255.387096774194,781.612903225806,183.741935483871,43.2903225806452,1615.48387096774,2624.12903225806,22490.1612903226,177.58064516129,1459.09677419355,1901.06451612903,5.45161290322581,3543.29032258065,1294.8064516129,2462.41935483871,0,-1167.48387096774,4100,3939.83870967742,16092.935483871,20114.4193548387,0.170967741935484,16,21053.6129032258,9.03225806451613,74.4212903225806,1
2012,4,25670,218.5,1159.6,185.933333333333,87.0333333333333,2499,3931.56666666667,29820.0666666667,13.3333333333333,1359.4,933.233333333333,7.1,2312.9,1856.96666666667,2131.76666666667,0,-274.766666666667,4964.03333333333,6761.36666666667,21001.4,27781.9333333333,0.079,8.2,28061.4333333333,1.96666666666667,67.2523333333333,1
2012,5,14042.2580645161,536.41935483871,378.741935483871,164.741935483871,157.741935483871,2992.25806451613,3693.48387096774,18272.1612903226,197.387096774194,1698.25806451613,1469.54838709677,33.0322580645161,3398.09677419355,2381.29032258065,0,0,2381.29032258065,3775.90322580645,2523.41935483871,10135.9677419355,12492.8064516129,0.192258064516129,35.5806451612903,15477.8387096774,23.3870967741935,69.9916129032258,1
2012,6,13500.6666666667,634.466666666667,91.5,44.1333333333333,188.6,1592.33333333333,1916.56666666667,16051.7,350.166666666667,1590.16666666667,2076.06666666667,89.2666666666667,4105.6,3678.36666666667,38.1666666666667,0,3640.2,4554.76666666667,-0.533333333333333,8561.1,8305.76666666667,0.225,48.4333333333333,14459.3666666667,42.6,77.9303333333333,1
2012,7,20283.8709677419,659.612903225806,31.258064516129,38.3870967741936,207.064516129032,951.903225806452,1228.61290322581,22172.0967741935,407.967741935484,5718.8064516129,4132.12903225806,94.1935483870968,10353.1935483871,4284.25806451613,0,0,4284.25806451613,8761.29032258065,-3148,10982.5483870968,7534.70967741936,0.442258064516129,66.2258064516129,21220.1935483871,64.6774193548387,79.3693548387097,1
2012,8,17877.4193548387,590.935483870968,12.4516129032258,36.0322580645161,202.774193548387,777.645161290323,1028.90322580645,19497.2580645161,415.41935483871,6220.93548387097,4404.25806451613,90.9032258064516,11131.5161290323,3724.12903225806,0,0,3724.12903225806,7918.38709677419,-4605.09677419355,9507.12903225806,4641.41935483871,0.550645161290322,77.4516129032258,18719.6129032258,76.4516129032258,82.3596774193548,1
2012,9,15350,388.166666666667,11.5,37.5333333333333,175.633333333333,956.166666666667,1180.83333333333,16919,298,4903.76666666667,4157.36666666667,108.9,9468.33333333333,2563.73333333333,0,0,2563.73333333333,7002.2,-2951.83333333333,8018.06666666667,4886.8,0.530666666666667,71.0333333333333,15962.8333333333,69.2,86.715,1
2012,10,11451.6129032258,206.41935483871,19.1612903225806,182.451612903226,82.5161290322581,1789.29032258065,2073.41935483871,13731.4516129032,143.709677419355,3725,3928.90322580645,85,7882.67741935484,1815.67741935484,443.709677419355,0,1371.96774193548,5573.87096774194,-1127.06451612903,5700.06451612903,4476.90322580645,0.550645161290323,67.3548387096774,11942.1612903226,61.7741935483871,86.1558064516129,1
2012,11,11910.3333333333,59.1,75.7333333333333,196.666666666667,50.2666666666667,1294.66666666667,1617.33333333333,13586.7666666667,113.4,3026.16666666667,3936.86666666667,77.6333333333333,7153.86666666667,1722.6,1581.66666666667,0,141.033333333333,5350.16666666667,-278.233333333333,6579.8,6291.7,0.506666666666667,55.0333333333333,12292.1,50.2333333333333,85.327,1
2012,12,45996.7741935484,3703.45161290323,1013.48387096774,392.548387096774,30.2258064516129,1960.64516129032,3396.90322580645,53097.1290322581,93.7741935483871,4220.45161290323,2931.8064516129,24.4838709677419,7270.32258064516,2079.25806451613,4503.32258064516,0,-2424.06451612903,8341.87096774194,6044.03225806452,42037.0322580645,48250.8709677419,0.164516129032258,13.1612903225806,51564.8709677419,10.4193548387097,70.7209677419355,1
